Date : 2025-12-29 21:25:22
Directory : c:\Dev\docdoc\lib
Total : 54 files,  2473 codes, 112 comments, 276 blanks, all 2861 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         54 |      2,473 |        112 |        276 |      2,861 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         54 |      2,473 |        112 |        276 |      2,861 |
| . (Files)                                                                                     |          1 |         19 |          0 |          4 |         23 |
| constants                                                                                     |          1 |         54 |        103 |         53 |        210 |
| core                                                                                          |          4 |        143 |          7 |         23 |        173 |
| core\helpers                                                                                  |          1 |         44 |          0 |          4 |         48 |
| core\utils                                                                                    |          2 |         67 |          7 |         16 |         90 |
| core\widgets                                                                                  |          1 |         32 |          0 |          3 |         35 |
| features                                                                                      |         48 |      2,257 |          2 |        196 |      2,455 |
| features\auth                                                                                 |         20 |      1,045 |          1 |         78 |      1,124 |
| features\auth\presentation                                                                    |         20 |      1,045 |          1 |         78 |      1,124 |
| features\auth\presentation\manager                                                            |          2 |         18 |          0 |         10 |         28 |
| features\auth\presentation\manager\cubits                                                     |          2 |         18 |          0 |         10 |         28 |
| features\auth\presentation\manager\cubits\otp_cubit                                           |          2 |         18 |          0 |         10 |         28 |
| features\auth\presentation\views                                                              |         18 |      1,027 |          1 |         68 |      1,096 |
| features\auth\presentation\views (Files)                                                      |          6 |         67 |          0 |         12 |         79 |
| features\auth\presentation\views\widgets                                                      |         12 |        960 |          1 |         56 |      1,017 |
| features\home                                                                                 |         22 |      1,008 |          1 |         89 |      1,098 |
| features\home\domain                                                                          |          1 |         23 |          0 |          4 |         27 |
| features\home\domain\entities                                                                 |          1 |         23 |          0 |          4 |         27 |
| features\home\presentation                                                                    |         21 |        985 |          1 |         85 |      1,071 |
| features\home\presentation\views                                                              |         21 |        985 |          1 |         85 |      1,071 |
| features\home\presentation\views (Files)                                                      |          4 |         40 |          0 |         14 |         54 |
| features\home\presentation\views\widgets                                                      |         17 |        945 |          1 |         71 |      1,017 |
| features\main                                                                                 |          4 |        163 |          0 |         24 |        187 |
| features\main\domain                                                                          |          1 |         22 |          0 |          4 |         26 |
| features\main\domain\entites                                                                  |          1 |         22 |          0 |          4 |         26 |
| features\main\presentation                                                                    |          3 |        141 |          0 |         20 |        161 |
| features\main\presentation\views                                                              |          3 |        141 |          0 |         20 |        161 |
| features\main\presentation\views (Files)                                                      |          1 |         40 |          0 |          6 |         46 |
| features\main\presentation\views\widgets                                                      |          2 |        101 |          0 |         14 |        115 |
| features\on_boarding                                                                          |          2 |         41 |          0 |          5 |         46 |
| features\on_boarding\presentation                                                             |          2 |         41 |          0 |          5 |         46 |
| features\on_boarding\presentation\views                                                       |          2 |         41 |          0 |          5 |         46 |
| features\on_boarding\presentation\views\widgets                                               |          2 |         41 |          0 |          5 |         46 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
